datetime,currency,impact,event,actual,forecast,previous
2021-04-27 03:00:00+00:00,JPY,3,BoJ Interest Rate Decision,-0.1,-0.1,-0.1
2021-04-27 03:00:00+00:00,JPY,3,BoJ Monetary Policy Statement,,,
2021-04-27 03:00:00+00:00,JPY,2,BoJ Outlook Report,,,
2021-04-27 06:00:00+00:00,JPY,3,BoJ Press Conference,,,
2021-04-27 10:00:00+00:00,USD,2,OPEC Meeting,,,
2021-04-27 13:00:00+00:00,USD,2,Housing Price Index (MoM),0.9,,1.0
2021-04-27 13:00:00+00:00,USD,2,S&P/Case-Shiller Home Price Indices (YoY),11.9,11.7,11.1
2021-04-27 14:00:00+00:00,USD,2,Consumer Confidence,,,
2021-04-27 20:00:00+00:00,CAD,3,BoC's Governor Macklem speech,,,
2021-04-27 23:50:00+00:00,JPY,2,Large Retailer Sales,3.0,,-4.7
2021-04-27 23:50:00+00:00,JPY,2,Retail Trade (YoY),5.2,4.7,-1.5
2021-04-27 23:50:00+00:00,JPY,2,Retail Trade s.a (MoM),1.2,,3.1
2021-04-28 01:30:00+00:00,AUD,3,Quarterly Consumer Price Index (QoQ),0.6,0.9,0.9
2021-04-28 01:30:00+00:00,AUD,2,Quarterly Consumer Price Index (YoY),1.1,1.4,0.9
2021-04-28 01:30:00+00:00,AUD,3,Quarterly RBA Trimmed Mean CPI (QoQ),0.3,0.5,0.4
2021-04-28 06:00:00+00:00,EUR,2,GfK Consumer Confidence Survey,-8.8,-3.5,-6.2
2021-04-28 08:00:00+00:00,CHF,2,ZEW Survey – Expectations,68.3,,66.7
2021-04-28 12:30:00+00:00,CAD,3,Retail Sales (MoM),4.8,4.0,-1.1
2021-04-28 12:30:00+00:00,CAD,2,Retail Sales ex Autos (MoM),4.8,3.7,-1.2
2021-04-28 14:00:00+00:00,EUR,3,ECB's President Lagarde speech,,,
2021-04-28 18:00:00+00:00,USD,3,Fed Interest Rate Decision,0.25,0.25,0.25
2021-04-28 18:00:00+00:00,USD,3,Fed Monetary Policy Statement,,,
2021-04-28 18:30:00+00:00,USD,3,FOMC Press Conference,,,
2021-04-28 22:45:00+00:00,NZD,2,Exports,5.68,,4.47
2021-04-28 22:45:00+00:00,NZD,2,Imports,5.65,,4.29
2021-04-28 22:45:00+00:00,NZD,2,Trade Balance NZD (YoY),1.69,,2.36
2021-04-29 01:00:00+00:00,USD,2,President Biden speech,,,
2021-04-29 07:30:00+00:00,EUR,2,ECB's De Guindos speech,,,
2021-04-29 07:55:00+00:00,EUR,2,Unemployment Change,9.0,-10.0,-8.0
2021-04-29 07:55:00+00:00,EUR,2,Unemployment Rate s.a.,6.0,6.0,6.0
2021-04-29 09:00:00+00:00,EUR,2,Business Climate,1.13,,0.3
2021-04-29 09:00:00+00:00,EUR,2,Consumer Confidence,-8.1,-8.1,-8.1
2021-04-29 11:30:00+00:00,EUR,2,German Buba President Weidmann speech,,,
2021-04-29 12:00:00+00:00,EUR,3,Harmonized Index of Consumer Prices (YoY),2.1,2.0,2.0
2021-04-29 12:30:00+00:00,USD,2,Core Personal Consumption Expenditures (QoQ),2.3,2.4,1.3
2021-04-29 12:30:00+00:00,USD,3,Gross Domestic Product Annualized,6.4,6.1,4.3
2021-04-29 12:30:00+00:00,USD,2,Gross Domestic Product Price Index,4.1,2.5,1.9
2021-04-29 12:30:00+00:00,USD,2,Initial Jobless Claims,553.0,549.0,547.0
2021-04-29 12:30:00+00:00,USD,2,Initial Jobless Claims 4-week average,611.75,,651.0
2021-04-29 12:30:00+00:00,USD,2,Personal Consumption Expenditures Prices (QoQ),3.5,,1.5
2021-04-29 14:00:00+00:00,USD,2,Pending Home Sales (MoM),1.9,5.0,-10.6
2021-04-29 18:00:00+00:00,USD,2,Fed's Williams speech,,,
2021-04-29 22:00:00+00:00,NZD,2,ANZ – Roy Morgan Consumer Confidence,115.4,,110.8
2021-04-29 23:30:00+00:00,JPY,2,Jobs / Applicants Ratio,1.1,1.09,1.09
2021-04-29 23:30:00+00:00,JPY,2,Tokyo Consumer Price Index (YoY),-0.6,-0.2,-0.2
2021-04-29 23:30:00+00:00,JPY,2,"Tokyo CPI ex Food, Energy (YoY)",0.0,0.3,0.3
2021-04-29 23:30:00+00:00,JPY,2,Tokyo CPI ex Fresh Food (YoY),-0.2,0.0,-0.1
2021-04-29 23:30:00+00:00,JPY,2,Unemployment Rate,2.6,2.9,2.9
2021-04-29 23:50:00+00:00,JPY,2,Industrial Production (YoY),4.0,0.0,-2.0
2021-04-30 06:30:00+00:00,CHF,2,Real Retail Sales (YoY),22.6,,-6.3
2021-04-30 07:00:00+00:00,CHF,2,KOF Leading Indicator,134.0,119.5,117.8
2021-04-30 08:00:00+00:00,CHF,3,SNB's Chairman Jordan speech,,,
2021-04-30 08:00:00+00:00,EUR,3,Gross Domestic Product (QoQ),-1.7,-1.5,0.3
2021-04-30 08:00:00+00:00,EUR,2,Gross Domestic Product (YoY),-3.0,-3.2,-3.7
2021-04-30 08:00:00+00:00,EUR,2,Gross Domestic Product w.d.a (YoY),-3.3,-3.6,-2.7
2021-04-30 09:00:00+00:00,EUR,3,Core Harmonized Index of Consumer Prices (YoY),0.8,0.9,0.9
2021-04-30 09:00:00+00:00,EUR,3,Gross Domestic Product s.a. (QoQ),-0.6,-0.8,-0.7
2021-04-30 09:00:00+00:00,EUR,3,Gross Domestic Product s.a. (YoY),-1.8,-2.0,-4.9
2021-04-30 09:00:00+00:00,EUR,3,Harmonized Index of Consumer Prices (YoY),1.6,1.6,1.3
2021-04-30 09:00:00+00:00,EUR,2,Unemployment Rate,8.1,8.3,8.3
2021-04-30 12:30:00+00:00,CAD,2,Gross Domestic Product (MoM),0.4,0.5,0.7
2021-04-30 12:30:00+00:00,USD,2,Core Personal Consumption Expenditures - Price Index (MoM),0.4,0.3,0.1
2021-04-30 12:30:00+00:00,USD,2,Core Personal Consumption Expenditures - Price Index (YoY),1.8,1.8,1.4
2021-04-30 12:30:00+00:00,USD,2,Personal Income (MoM),21.1,20.3,-7.1
2021-04-30 12:30:00+00:00,USD,2,Personal Spending,4.2,4.1,-1.0
2021-04-30 13:45:00+00:00,USD,2,Chicago PMI,72.1,65.3,66.3
