datetime,currency,impact,event,actual,forecast,previous
2011-01-01 09:00:00+00:00,GBP,2,BoE QE Total,200,,200
2011-01-01 09:00:00+00:00,GBP,2,Core Retail Sales,-1.7,,0.1
2011-01-01 09:00:00+00:00,GBP,2,Core Retail Sales,-1.9,,-0.4
2011-01-01 09:00:00+00:00,GBP,2,CPI,1,,0.4
2011-01-01 09:00:00+00:00,GBP,2,Halifax House Price Index,-1.6,,-0.7
2011-01-01 09:00:00+00:00,GBP,2,Nationwide HPI,0.1,,0.2
2011-01-01 09:00:00+00:00,GBP,2,Retail Sales,1,,1.1
2011-01-01 09:00:00+00:00,GBP,2,Trade Balance Non-EU,-5.64,,-4.74
2011-01-01 09:00:00+00:00,USD,2,10-Year Note Auction,3.38,,2.63
2011-01-01 09:00:00+00:00,USD,2,Building Permits,16.7,,-4
2011-01-01 09:00:00+00:00,USD,2,Core CPI,0.8,,0.8
2011-01-01 09:00:00+00:00,USD,2,Core PCE Price Index,0.9,,1
2011-01-01 09:00:00+00:00,USD,2,Existing Home Sales,6.2,,5
2011-01-01 09:00:00+00:00,USD,2,Export Price Index,0.7,,1.5
2011-01-01 09:00:00+00:00,USD,2,Housing Starts,-1.1,,0.4
2011-01-01 09:00:00+00:00,USD,2,ISM Manufacturing Employment,58.2,,60.5
2011-01-01 09:00:00+00:00,USD,2,ISM Non-Manufacturing Employment,52.2,,56.6
2011-01-01 09:00:00+00:00,USD,3,JOLTs Job Openings,2.91,,3.07
2011-01-01 09:00:00+00:00,USD,2,Michigan Consumer Expectations,66.8,,64.8
2011-01-01 09:00:00+00:00,USD,2,New Home Sales,13.6,,-1.4
2011-01-01 09:00:00+00:00,USD,2,Philly Fed Employment,4.3,,10.7
2011-01-01 09:00:00+00:00,CAD,2,Core CPI,1.5,,1.4
2011-01-01 09:00:00+00:00,CHF,2,KOF Leading Indicators,102.4,,102.4
2011-01-01 09:00:00+00:00,CHF,2,Unemployment Rate n.s.a.,3.4,,3.3
2011-01-01 09:00:00+00:00,EUR,2,German ZEW Current Conditions,82.6,,81.5
2011-01-01 09:00:00+00:00,AUD,2,Full Employment Change,0.8,,63.2
2011-01-01 09:00:00+00:00,JPY,2,Current Account n.s.a.,1.35,,1.11
2011-01-01 09:00:00+00:00,JPY,2,Exports,12.9,,9.1
2011-01-01 09:00:00+00:00,JPY,2,Household Spending,-1.6,,0.6
2011-01-01 09:00:00+00:00,JPY,2,Jobs/applications ratio,0.59,,0.58
2011-01-01 09:00:00+00:00,JPY,2,Trade Balance,719.6,,157.6
2011-01-01 09:00:00+00:00,CNY,2,CPI,0.5,,1.1
2011-01-01 09:00:00+00:00,CNY,2,Exports,17.9,,34.9
2011-01-01 09:00:00+00:00,CNY,2,Imports,25.6,,37.7
2011-01-01 09:00:00+00:00,CNY,3,Manufacturing PMI,53.9,,55.2
2011-01-01 09:00:00+00:00,CNY,2,New Loans,480.7,,564
2011-01-01 09:00:00+00:00,CNY,2,Non-Manufacturing PMI,58.8,,58.9
2011-01-01 09:00:00+00:00,CNY,2,PBoC Deposit Rate,2.55,,2.5
2011-01-01 09:00:00+00:00,CNY,2,PBoC Reserve Requirement Ratio,18.22,,17.3
2011-01-01 09:00:00+00:00,NZD,2,Electronic Card Retail Sales,0.6,,1.4
2011-01-01 09:00:00+00:00,NZD,2,Trade Balance,1170,,1.360.00
2011-01-01 09:00:00+00:00,EUR,2,CPI,0.6,,0.1
2011-01-03 08:30:00+00:00,CHF,2,SVME PMI,59.6,62.10,61.8
2011-01-03 09:00:00+00:00,EUR,2,Manufacturing PMI,57.1,56.90,56.8
2011-01-03 15:00:00+00:00,USD,3,ISM Manufacturing PMI,57,57.30,56.6
2011-01-03 22:30:00+00:00,AUD,2,AIG Manufacturing Index,46.3,,47.6
2011-01-04 08:55:00+00:00,EUR,3,German Unemployment Change,3,-14.00,"vised From -9K>-8                                 """
2011-01-04 08:55:00+00:00,EUR,2,German Unemployment Rate,7.5,7.50,7.5
2011-01-04 09:30:00+00:00,GBP,3,Manufacturing PMI,58.3,57.50,"vised From 58.0>57.5                              """
2011-01-04 10:00:00+00:00,EUR,3,CPI,2.2,2.00,1.9
2011-01-04 15:00:00+00:00,USD,2,Factory Orders,0.7,-0.40,vised From -0.9
2011-01-04 19:00:00+00:00,USD,3,FOMC Meeting Minutes,,,
2011-01-04 20:00:00+00:00,NZD,2,GlobalDairyTrade Price Index,5.8,,2.3
2011-01-05 00:00:00+00:00,AUD,2,HIA New Home Sales,-0.2,,vised From 2.4
2011-01-05 09:00:00+00:00,EUR,2,Services PMI,54.2,53.70,53.7
2011-01-05 09:30:00+00:00,GBP,3,Construction PMI,49.1,51.20,51.8
2011-01-05 10:00:00+00:00,EUR,2,Industrial New Orders,1.4,1.60,vised From -3.8
2011-01-05 13:15:00+00:00,USD,3,ADP Nonfarm Employment Change,297,100.00,"vised From 93K>92                                 """
2011-01-05 13:30:00+00:00,CAD,2,RMPI,3.5,2.20,vised From 1.7
2011-01-05 15:00:00+00:00,USD,3,ISM Non-Manufacturing PMI,57.1,55.70,55
2011-01-05 15:30:00+00:00,USD,3,Crude Oil Inventories,-4.2,-1.40,-1.3
2011-01-06 00:30:00+00:00,AUD,2,Building Approvals,-4.2,-3.50,vised From 9.3
2011-01-06 08:15:00+00:00,CHF,2,CPI,0,-0.20,0.2
2011-01-06 09:30:00+00:00,GBP,3,Services PMI,49.7,52.90,53
2011-01-06 10:00:00+00:00,EUR,2,Retail Sales,-0.8,0.30,vised From 0.5
2011-01-06 11:00:00+00:00,EUR,2,German Factory Orders,5.2,1.10,1.6
2011-01-06 13:30:00+00:00,USD,2,Initial Jobless Claims,409,405.00,"vised From 388K>391                               """
2011-01-06 15:00:00+00:00,CAD,3,Ivey PMI,50,52.70,57.5
2011-01-07 06:45:00+00:00,CHF,2,Unemployment Rate s.a.,3.6,3.60,3.6
2011-01-07 07:00:00+00:00,EUR,2,German Retail Sales,-2.4,1.10,vised From 2.3
2011-01-07 07:00:00+00:00,EUR,2,German Trade Balance,11.8,14.50,14.3
2011-01-07 09:00:00+00:00,EUR,3,ECB President Trichet Speaks,,,
2011-01-07 10:00:00+00:00,EUR,2,GDP,0.3,0.40,0.4
2011-01-07 10:00:00+00:00,EUR,2,Unemployment Rate,10.1,10.10,10.1
2011-01-07 11:00:00+00:00,EUR,2,German Industrial Production,-0.7,-0.10,vised From 2.9
2011-01-07 12:00:00+00:00,CAD,3,Employment Change,22,20.30,15.2
2011-01-07 12:00:00+00:00,CAD,2,Unemployment Rate,7.6,7.70,7.6
2011-01-07 13:30:00+00:00,USD,2,Average Hourly Earnings,0.1,0.10,0
2011-01-07 13:30:00+00:00,USD,3,Nonfarm Payrolls,103,150.00,"vised From 39K>71                                 """
2011-01-07 13:30:00+00:00,USD,2,Private Nonfarm Payrolls,113,162.00,"vised From 50K>79                                 """
2011-01-07 13:30:00+00:00,USD,3,Unemployment Rate,9.4,9.70,9.8
2011-01-07 14:30:00+00:00,USD,3,Fed Chairman Bernanke Testifies,,,
2011-01-07 17:00:00+00:00,USD,2,U.S. Baker Hughes Oil Rig Count,777,,765
